Id,Source,Target,Type
489,Mesut Sürmeli,Reha Yurdakul,Undirected
490,Mesut Sürmeli,Nejat Gürçen,Undirected
491,Pembe Mutlu,Müjde Ar,Undirected
492,Gökhan Mete,Müjde Ar,Undirected
493,Haþmet Zeybek,Müjde Ar,Undirected
494,Halil Ergün,Müjde Ar,Undirected
495,Ýhsan Yüce,Müjde Ar,Undirected
496,Duygu Ankara,Müjde Ar,Undirected
497,Tuncay Akça,Müjde Ar,Undirected
498,Sýrrý Elitaþ,Müjde Ar,Undirected
499,Ayten Erman,Müjde Ar,Undirected
500,Sevil Üstekin,Müjde Ar,Undirected
501,Suzan Korkmaz,Müjde Ar,Undirected
502,Gül Yalaz,Müjde Ar,Undirected
503,Gökhan Mete,Þener Þen,Undirected
504,Haþmet Zeybek,Þener Þen,Undirected
505,Halil Ergün,Þener Þen,Undirected
506,Duygu Ankara,Þener Þen,Undirected
507,Tuncay Akça,Þener Þen,Undirected
508,Sýrrý Elitaþ,Þener Þen,Undirected
509,Ayten Erman,Þener Þen,Undirected
510,Sevil Üstekin,Þener Þen,Undirected
511,Suzan Korkmaz,Þener Þen,Undirected
512,Gül Yalaz,Þener Þen,Undirected
513,Gökhan Mete,Pembe Mutlu,Undirected
514,Haþmet Zeybek,Pembe Mutlu,Undirected
515,Halil Ergün,Pembe Mutlu,Undirected
516,Duygu Ankara,Pembe Mutlu,Undirected
517,Tuncay Akça,Pembe Mutlu,Undirected
518,Sýrrý Elitaþ,Pembe Mutlu,Undirected
519,Ayten Erman,Pembe Mutlu,Undirected
520,Sevil Üstekin,Pembe Mutlu,Undirected
521,Suzan Korkmaz,Pembe Mutlu,Undirected
522,Gül Yalaz,Pembe Mutlu,Undirected
523,Haþmet Zeybek,Gökhan Mete,Undirected
524,Halil Ergün,Gökhan Mete,Undirected
525,Ýhsan Yüce,Gökhan Mete,Undirected
526,Duygu Ankara,Gökhan Mete,Undirected
